idx,file,path,ext,bytes,sha16,width,height,ratio,bucket
138,7b8d7aeb7574b22c.png,dist/assets/pptx-media/7b8d7aeb7574b22c.png,png,94970,d6cd2f939e6d8735,864,6645,0.13,other-candidate
139,7c9d4b72dcf17a6b.png,dist/assets/pptx-media/7c9d4b72dcf17a6b.png,png,2694,8bc0fc9046ef6880,96,96,1.0,icon-candidate
140,7d27d110df1eea5e.png,dist/assets/pptx-media/7d27d110df1eea5e.png,png,1547,299ff9142fb494b9,96,96,1.0,icon-candidate
141,7d9d8b865ccd8dc9.png,dist/assets/pptx-media/7d9d8b865ccd8dc9.png,png,181408,3448cf17a3aa399f,4348,3820,1.138,other-candidate
142,7e43583df202e745.png,dist/assets/pptx-media/7e43583df202e745.png,png,1414705,277f56899c32b870,12420,4320,2.875,other-candidate
143,7eade25d7dfd8233.png,dist/assets/pptx-media/7eade25d7dfd8233.png,png,731,605d7de10047e3b7,82,26,3.154,icon-candidate
144,7efc8dc96a9d0a18.png,dist/assets/pptx-media/7efc8dc96a9d0a18.png,png,99128,795e31878d692790,2068,1368,1.512,other-candidate
145,7f66c7f7d21aad17.png,dist/assets/pptx-media/7f66c7f7d21aad17.png,png,1592,0d9e9fdef50710cb,96,96,1.0,icon-candidate
146,80a90c8bb3348e66.png,dist/assets/pptx-media/80a90c8bb3348e66.png,png,849,e18154931f349bd7,96,96,1.0,icon-candidate
147,80cef12ea710a61e.png,dist/assets/pptx-media/80cef12ea710a61e.png,png,2596,9ffbd272d2e09636,96,96,1.0,icon-candidate
148,8151698eea632296.png,dist/assets/pptx-media/8151698eea632296.png,png,62503,046c196f924e977c,542,399,1.358,other-candidate
149,82b20e64a807a1e4.png,dist/assets/pptx-media/82b20e64a807a1e4.png,png,166607,3b2bf78f1b21981d,371,371,1.0,large-icon-or-logo-candidate
150,8379a50c7287aa1c.png,dist/assets/pptx-media/8379a50c7287aa1c.png,png,32771,b73bf7ce9d8d92e7,2420,417,5.803,logo-candidate
151,84c699d6c4f1d99f.png,dist/assets/pptx-media/84c699d6c4f1d99f.png,png,1735,1a0156a9f43ac129,96,96,1.0,icon-candidate
152,84f13ead6f5b7026.png,dist/assets/pptx-media/84f13ead6f5b7026.png,png,3393,9c67b7fe9db44971,300,148,2.027,logo-candidate
153,86a42cf94fdfdaa7.png,dist/assets/pptx-media/86a42cf94fdfdaa7.png,png,32775,535cefb9bab1a29a,2782,417,6.671,logo-candidate
154,87db19d23d312115.png,dist/assets/pptx-media/87db19d23d312115.png,png,806927,22045d067de6de4e,800,800,1.0,large-icon-or-logo-candidate
155,8820aa6f3719cf1d.png,dist/assets/pptx-media/8820aa6f3719cf1d.png,png,1088,33908edea8e90631,96,96,1.0,icon-candidate
156,8b37a7696483eecc.png,dist/assets/pptx-media/8b37a7696483eecc.png,png,78428,311cc64199519b84,2500,1499,1.668,other-candidate
157,8cf6ffe459a7ec56.png,dist/assets/pptx-media/8cf6ffe459a7ec56.png,png,3651,a3207075cbaa5fb3,89,89,1.0,icon-candidate
158,8cf9918876acc13f.png,dist/assets/pptx-media/8cf9918876acc13f.png,png,28277,9e653c153516cf5b,788,784,1.005,large-icon-or-logo-candidate
159,9034d2ae6aaf0c2b.png,dist/assets/pptx-media/9034d2ae6aaf0c2b.png,png,150454,fe5c6fbda6edb285,2016,672,3.0,logo-candidate
160,9046520727b55e57.png,dist/assets/pptx-media/9046520727b55e57.png,png,994,406c6af3264e920f,96,96,1.0,icon-candidate
161,913ffc9d345ae1b1.png,dist/assets/pptx-media/913ffc9d345ae1b1.png,png,2363,7e1667dbcdde7cd5,96,96,1.0,icon-candidate
162,9140a4bcad1a9c4a.png,dist/assets/pptx-media/9140a4bcad1a9c4a.png,png,18378,9823bec244426994,1420,417,3.405,logo-candidate
163,91490351f79cf2cf.png,dist/assets/pptx-media/91490351f79cf2cf.png,png,1764,bb0487f155f173ef,96,96,1.0,icon-candidate
164,9249fa111beee451.png,dist/assets/pptx-media/9249fa111beee451.png,png,1599,df333c38cafed31f,96,96,1.0,icon-candidate
165,928e69bfa628313e.png,dist/assets/pptx-media/928e69bfa628313e.png,png,23588,b8269064f10f4b97,1683,418,4.026,logo-candidate
166,95503602738d9e22.png,dist/assets/pptx-media/95503602738d9e22.png,png,1114,c3fe9e616c483e02,96,96,1.0,icon-candidate
167,9633c624c96b21bf.png,dist/assets/pptx-media/9633c624c96b21bf.png,png,31965,1d12f38d8bc2e07b,1946,417,4.667,logo-candidate
168,964f28cc7c209d19.png,dist/assets/pptx-media/964f28cc7c209d19.png,png,36085,50070845b419c1f6,784,788,0.995,large-icon-or-logo-candidate
169,966d67ff63dbcc59.png,dist/assets/pptx-media/966d67ff63dbcc59.png,png,1477,b31f3636708731fd,96,96,1.0,icon-candidate
170,978fcb8d795b97cf.png,dist/assets/pptx-media/978fcb8d795b97cf.png,png,2024,19f0c2c34a4526d5,96,96,1.0,icon-candidate
171,9795af3ccf6eb151.png,dist/assets/pptx-media/9795af3ccf6eb151.png,png,38543,2154d751d99d3b47,784,784,1.0,large-icon-or-logo-candidate
172,97c71f315c3919a9.png,dist/assets/pptx-media/97c71f315c3919a9.png,png,1824,ff74d4b64e4883a8,96,96,1.0,icon-candidate
173,984faae5892b890a.png,dist/assets/pptx-media/984faae5892b890a.png,png,190545,4e9abcc28e9249fd,6289,3287,1.913,other-candidate
174,98d057d0474ae4b2.png,dist/assets/pptx-media/98d057d0474ae4b2.png,png,18184,d6d758cc311a9532,760,240,3.167,logo-candidate
175,98d9096d0e722f90.png,dist/assets/pptx-media/98d9096d0e722f90.png,png,1194,f212ec5beb52b32c,96,96,1.0,icon-candidate
176,992cd65a40609062.png,dist/assets/pptx-media/992cd65a40609062.png,png,2870842,822d225af0ab9ac0,1920,1332,1.441,other-candidate
177,9a02ea22acfd3784.png,dist/assets/pptx-media/9a02ea22acfd3784.png,png,6619,c70d714a4269b7b7,236,256,0.922,other-candidate
178,9bf7e6e02aa80a2b.png,dist/assets/pptx-media/9bf7e6e02aa80a2b.png,png,171,ef09d4486ed16ea3,99,106,0.934,icon-candidate
179,9d0e262f50905444.png,dist/assets/pptx-media/9d0e262f50905444.png,png,1086,110443d5bb38e1c7,96,96,1.0,icon-candidate
180,9d43f3e97a8af812.png,dist/assets/pptx-media/9d43f3e97a8af812.png,png,31784,aa0fa92e731017de,784,784,1.0,large-icon-or-logo-candidate
181,9ea9f4536b6f5a71.png,dist/assets/pptx-media/9ea9f4536b6f5a71.png,png,1983,62b7b6741114f16f,96,96,1.0,icon-candidate
182,9fadf1458a33d8b3.png,dist/assets/pptx-media/9fadf1458a33d8b3.png,png,1224,72d0a7cff6a96fa6,75,26,2.885,icon-candidate
183,a0141c60b9a4f794.png,dist/assets/pptx-media/a0141c60b9a4f794.png,png,1876,1137f7cc4f76e4ac,96,96,1.0,icon-candidate
184,a036319fe61f83ae.png,dist/assets/pptx-media/a036319fe61f83ae.png,png,34220,e3040d7fdeeb3ebf,784,788,0.995,large-icon-or-logo-candidate
185,a0399f7b86c6dcd3.png,dist/assets/pptx-media/a0399f7b86c6dcd3.png,png,1294,9160464e70b774e0,190,224,0.848,other-candidate
186,a081f44dc9ae62db.png,dist/assets/pptx-media/a081f44dc9ae62db.png,png,13528046,602801e833d9399f,9600,5400,1.778,other-candidate
187,a0d4bded88cf974e.png,dist/assets/pptx-media/a0d4bded88cf974e.png,png,841,41b7440e813dc96d,96,96,1.0,icon-candidate
188,a11731bb8bf38b84.png,dist/assets/pptx-media/a11731bb8bf38b84.png,png,1584,a0b2fb5b382839f1,96,96,1.0,icon-candidate
189,a16f29d7442612c7.png,dist/assets/pptx-media/a16f29d7442612c7.png,png,103482,47488ca4d42a866f,1050,312,3.365,logo-candidate
190,a1bf71926a28fc19.jpeg,dist/assets/pptx-media/a1bf71926a28fc19.jpeg,jpeg,200551,cd2d183b287cb719,552,1212,0.455,other-candidate
191,a1c9c5fb4ab505a0.png,dist/assets/pptx-media/a1c9c5fb4ab505a0.png,png,1913,3fc34f94697c6918,96,96,1.0,icon-candidate
192,a2215f724dd5e556.png,dist/assets/pptx-media/a2215f724dd5e556.png,png,31249,9b8c312f1bf1c68b,784,784,1.0,large-icon-or-logo-candidate
193,a26ddb71787f1259.png,dist/assets/pptx-media/a26ddb71787f1259.png,png,1797,9b5a4c45a7392690,96,96,1.0,icon-candidate
194,a35878b6800821b0.png,dist/assets/pptx-media/a35878b6800821b0.png,png,1114,587e9cd7151bc24d,96,96,1.0,icon-candidate
195,a360cbf0c9bf4e39.png,dist/assets/pptx-media/a360cbf0c9bf4e39.png,png,1754,b07d5ae149b282e4,96,96,1.0,icon-candidate
196,a4540d81cce4891e.png,dist/assets/pptx-media/a4540d81cce4891e.png,png,2747,8aeb2c55057d2ff6,96,96,1.0,icon-candidate
197,a4a25724019e3484.png,dist/assets/pptx-media/a4a25724019e3484.png,png,1459,e687313235a5c84a,96,96,1.0,icon-candidate
198,a4c32b0e1e0b41db.png,dist/assets/pptx-media/a4c32b0e1e0b41db.png,png,23331,3975b1eae071b734,664,640,1.038,large-icon-or-logo-candidate
199,a5a1cb8513075ccb.png,dist/assets/pptx-media/a5a1cb8513075ccb.png,png,785,f83d39d74c0a156c,92,23,4.0,icon-candidate
200,a5c6c32b12759806.png,dist/assets/pptx-media/a5c6c32b12759806.png,png,1567,7665b40e51b93d8a,96,96,1.0,icon-candidate
201,a7543037dc0e7a14.png,dist/assets/pptx-media/a7543037dc0e7a14.png,png,1372,ede9b8a12b5579aa,96,96,1.0,icon-candidate
202,a7d93a6b4c77762c.png,dist/assets/pptx-media/a7d93a6b4c77762c.png,png,25166,38520dc15b2a3940,784,788,0.995,large-icon-or-logo-candidate
203,a8a8226737bd1b6e.png,dist/assets/pptx-media/a8a8226737bd1b6e.png,png,1513,8973223bc7c2d7df,96,96,1.0,icon-candidate
204,a94d3c74a8d7b9e7.png,dist/assets/pptx-media/a94d3c74a8d7b9e7.png,png,1655,c19e77431be7073f,96,96,1.0,icon-candidate
205,aabe6e7f8feb1bec.png,dist/assets/pptx-media/aabe6e7f8feb1bec.png,png,2325,99f933511d739ccb,96,96,1.0,icon-candidate
206,ac8915eca1d4b76e.png,dist/assets/pptx-media/ac8915eca1d4b76e.png,png,5487,e16deb13479a406e,498,188,2.649,logo-candidate
207,add8ee3f2e5106c7.png,dist/assets/pptx-media/add8ee3f2e5106c7.png,png,12922,495688bfc75c1156,1061,318,3.336,logo-candidate
208,af985b2a97fbead8.png,dist/assets/pptx-media/af985b2a97fbead8.png,png,3695839,ad1523dc3d377295,11760,4960,2.371,other-candidate
209,b002c8999f649004.png,dist/assets/pptx-media/b002c8999f649004.png,png,32020,9a742e35d92536b3,784,784,1.0,large-icon-or-logo-candidate
210,b0f8d0ec7e7195aa.jpeg,dist/assets/pptx-media/b0f8d0ec7e7195aa.jpeg,jpeg,130285,ddfe2ad393a2306d,1280,853,1.501,other-candidate
211,b215d7e496a08eed.png,dist/assets/pptx-media/b215d7e496a08eed.png,png,1178,a1d47b5ad858586e,96,96,1.0,icon-candidate
212,b261e6a7dca84624.png,dist/assets/pptx-media/b261e6a7dca84624.png,png,1860,757291af776275e8,96,96,1.0,icon-candidate
213,b275ffc57932a81d.png,dist/assets/pptx-media/b275ffc57932a81d.png,png,34781,6f540bce98f7caff,784,784,1.0,large-icon-or-logo-candidate
214,b472c9001ec3c7ba.png,dist/assets/pptx-media/b472c9001ec3c7ba.png,png,148979,06739b4a12d2da16,371,371,1.0,large-icon-or-logo-candidate
215,b4906f8983e9cecf.png,dist/assets/pptx-media/b4906f8983e9cecf.png,png,10448,5fc34b768e171bb2,1955,1360,1.438,other-candidate
216,b514c5a6da6a3836.png,dist/assets/pptx-media/b514c5a6da6a3836.png,png,152416,96e770ded0dbe5e9,371,371,1.0,large-icon-or-logo-candidate
217,b7b42851f262ec9e.png,dist/assets/pptx-media/b7b42851f262ec9e.png,png,81354,6a23b38d22570e2e,1500,1500,1.0,other-candidate
218,b8798958dab08e18.png,dist/assets/pptx-media/b8798958dab08e18.png,png,52855,02026da02dcda90e,1437,808,1.778,other-candidate
219,b92e6560f73efe4e.png,dist/assets/pptx-media/b92e6560f73efe4e.png,png,1347,dec942d1a23742c9,96,96,1.0,icon-candidate
220,b972ab53e095fe13.png,dist/assets/pptx-media/b972ab53e095fe13.png,png,70373,5518dbad5803d211,2202,691,3.187,logo-candidate
221,b9c3169c32b18e71.png,dist/assets/pptx-media/b9c3169c32b18e71.png,png,890,538c91c39b441c6a,96,96,1.0,icon-candidate
222,ba1be3d39bce7b5e.png,dist/assets/pptx-media/ba1be3d39bce7b5e.png,png,2333,40a93781aaab9888,96,96,1.0,icon-candidate
223,bc6a8b51bd6c0215.png,dist/assets/pptx-media/bc6a8b51bd6c0215.png,png,2269,332eeef9f1c77666,96,96,1.0,icon-candidate
224,bc6d0cecfe422fb7.png,dist/assets/pptx-media/bc6d0cecfe422fb7.png,png,1531,d2463c6012d2e081,96,96,1.0,icon-candidate
225,bd71f9c4bf3cc425.png,dist/assets/pptx-media/bd71f9c4bf3cc425.png,png,2121,67a428164e4927f7,96,96,1.0,icon-candidate
226,be428d6fa45b6bfe.png,dist/assets/pptx-media/be428d6fa45b6bfe.png,png,1264,33a8d2a46b82ccfc,96,96,1.0,icon-candidate
227,be8695dcb6bf4536.png,dist/assets/pptx-media/be8695dcb6bf4536.png,png,32112,b0ff633ba6802bba,784,784,1.0,large-icon-or-logo-candidate
228,bf0d486a2f2f144a.png,dist/assets/pptx-media/bf0d486a2f2f144a.png,png,14612,b6ea59cb2978d8a3,1034,326,3.172,logo-candidate
229,bfef7fcec9c3efeb.jpeg,dist/assets/pptx-media/bfef7fcec9c3efeb.jpeg,jpeg,240608,47168e2fe65caf76,600,667,0.9,large-icon-or-logo-candidate
230,c01e4ac0dff96592.png,dist/assets/pptx-media/c01e4ac0dff96592.png,png,1165,e41980863c9a548d,96,96,1.0,icon-candidate
231,c068661d22e1b310.png,dist/assets/pptx-media/c068661d22e1b310.png,png,133868,08483bc6d6bd46f0,371,371,1.0,large-icon-or-logo-candidate
232,c2e9a240923e7d86.png,dist/assets/pptx-media/c2e9a240923e7d86.png,png,1665,05644b45731bfd3f,96,96,1.0,icon-candidate
233,c52c7954cfd05608.png,dist/assets/pptx-media/c52c7954cfd05608.png,png,1705,94e7be5e541892e4,96,96,1.0,icon-candidate
234,c537c1f1d108908d.png,dist/assets/pptx-media/c537c1f1d108908d.png,png,27262,3384e996d5f7dc16,680,684,0.994,large-icon-or-logo-candidate
235,c56260bde525697f.png,dist/assets/pptx-media/c56260bde525697f.png,png,1722,36853aa9c5d48b01,96,96,1.0,icon-candidate
236,c62aa96c25032012.png,dist/assets/pptx-media/c62aa96c25032012.png,png,1207,7d0be2e6d6c6918b,96,96,1.0,icon-candidate
237,c66f4d48760bfe0b.png,dist/assets/pptx-media/c66f4d48760bfe0b.png,png,1707,46af661eee57e0a1,96,96,1.0,icon-candidate
238,c79530d42bdf7e25.png,dist/assets/pptx-media/c79530d42bdf7e25.png,png,7718,7ac3f4dbafbfc2a8,582,183,3.18,logo-candidate
239,c84e950fb4330f5b.png,dist/assets/pptx-media/c84e950fb4330f5b.png,png,17636,571a708935fadc27,1404,418,3.359,logo-candidate
240,c99b47f042524ca6.png,dist/assets/pptx-media/c99b47f042524ca6.png,png,2126,4f0e8c6e018519d7,96,96,1.0,icon-candidate
241,cb79a2461ba7e11c.png,dist/assets/pptx-media/cb79a2461ba7e11c.png,png,188253,14674c2371ecbf5a,4314,3782,1.141,other-candidate
242,cc25d5ae3f749683.png,dist/assets/pptx-media/cc25d5ae3f749683.png,png,2083,5359698c62cd2d0d,96,96,1.0,icon-candidate
243,cc6c8846edc9c189.png,dist/assets/pptx-media/cc6c8846edc9c189.png,png,990,0bbd092daec964e8,96,96,1.0,icon-candidate
244,cd69f7f30e01daeb.png,dist/assets/pptx-media/cd69f7f30e01daeb.png,png,1525,372e02ebaa125bf9,96,96,1.0,icon-candidate
245,cf4299f82972c2b0.png,dist/assets/pptx-media/cf4299f82972c2b0.png,png,1899,6e266859fdabbf76,96,96,1.0,icon-candidate
246,d0432830da6feb79.png,dist/assets/pptx-media/d0432830da6feb79.png,png,1685,5c521a3639bb6eb4,96,96,1.0,icon-candidate
247,d1341ad3939e1248.png,dist/assets/pptx-media/d1341ad3939e1248.png,png,1261,d4627cd5c142bd9a,96,96,1.0,icon-candidate
248,d13ea668c3d3a608.png,dist/assets/pptx-media/d13ea668c3d3a608.png,png,1707,117e89dff6b3e2e2,96,96,1.0,icon-candidate
249,d2a1101762b7aa3a.png,dist/assets/pptx-media/d2a1101762b7aa3a.png,png,19805,986fb5e9d33f5ff2,1425,418,3.409,logo-candidate
250,d2ed5cd47e00bcf2.png,dist/assets/pptx-media/d2ed5cd47e00bcf2.png,png,107532,37ceb6ab2e896a78,6036,1872,3.224,other-candidate
251,d3456ffa1c942dc8.png,dist/assets/pptx-media/d3456ffa1c942dc8.png,png,148050,b1773c1ffab17e92,10475,1185,8.84,other-candidate
252,d6589325e30cc912.png,dist/assets/pptx-media/d6589325e30cc912.png,png,36302,0d158da2373a7c84,2185,689,3.171,logo-candidate
253,d6ef9c0153913d4d.png,dist/assets/pptx-media/d6ef9c0153913d4d.png,png,12371,37ecfef94c89b02a,1061,318,3.336,logo-candidate
254,d7a1a3a3b463d4b6.png,dist/assets/pptx-media/d7a1a3a3b463d4b6.png,png,45757,c0a65fa7efa6652d,784,788,0.995,large-icon-or-logo-candidate
255,d8617b18f7fe3922.png,dist/assets/pptx-media/d8617b18f7fe3922.png,png,1132182,3e75fc4bc8ae733c,1670,1746,0.956,other-candidate
256,d878c7867c7b9e88.png,dist/assets/pptx-media/d878c7867c7b9e88.png,png,20934,18a4b5877af1ef48,736,600,1.227,large-icon-or-logo-candidate
257,da12fbd32e88ac66.jpeg,dist/assets/pptx-media/da12fbd32e88ac66.jpeg,jpeg,92124,ca7903c81481ba8b,1454,774,1.879,other-candidate
258,da79e7dc06db0901.png,dist/assets/pptx-media/da79e7dc06db0901.png,png,53443,be229969ec0a2934,1709,417,4.098,logo-candidate
